UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,temp_diff,power,wear_rate,energy_proxy,temp_ratio,actual,predicted
2998,L50177,L,300.5,309.8,1345,62.7,153,0,0,0,0,0,9.300000000000011,84331.5,0.113670133729569,12902719.5,1.0309484193011649,0,1
4872,L52051,L,303.7,312.4,1513,40.1,135,0,0,0,0,0,8.699999999999989,60671.3,0.0891677675033025,8190625.5,1.0286466908133023,0,0
3859,L51038,L,302.5,311.4,1559,37.6,209,0,0,0,0,0,8.899999999999977,58618.4,0.1339743589743589,12251245.6,1.0294214876033057,0,1
952,H30365,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,10.699999999999989,54022.2,0.0397350993377483,3241332.0,1.0361975642760486,0,0
6464,H35877,H,300.5,310.0,1358,60.4,102,0,0,0,0,0,9.5,82023.2,0.075055187637969,8366366.399999999,1.0316139767054908,0,1
3265,H32678,H,301.3,310.1,1455,44.1,188,0,0,0,0,0,8.800000000000011,64165.5,0.1291208791208791,12063114.0,1.0292067706604713,0,1
4509,L51688,L,302.4,310.0,1426,46.6,102,0,0,0,0,0,7.600000000000023,66451.6,0.071478626489138,6778063.2,1.0251322751322751,0,0
2101,M16960,M,299.3,309.3,1471,46.0,42,0,0,0,0,0,10.0,67666.0,0.0285326086956521,2841972.0,1.0334112930170398,0,0
7886,L55065,L,300.7,312.3,1590,36.3,93,0,0,0,0,0,11.600000000000025,57716.99999999999,0.0584538026398491,5367680.999999999,1.0385766544728967,0,0
2422,L49601,L,298.9,308.2,2384,15.0,19,0,0,0,0,0,9.300000000000011,35760.0,0.0079664570230607,679440.0,1.0311140849782536,0,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,9.600000000000025,61258.2,0.0780856423173803,7596016.800000001,1.0321070234113714,0,0
7718,L54897,L,300.5,311.6,1365,53.0,85,0,0,0,0,0,11.100000000000025,72345.0,0.062225475841874,6149325.0,1.0369384359401,0,1
6205,M21064,M,300.9,310.8,1519,34.9,73,0,0,0,0,0,9.900000000000034,53013.1,0.0480263157894736,3869956.3,1.032901296111665,0,0
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,10.299999999999956,67061.2,0.0716771050800278,6907303.6,1.0345521637034552,0,0
922,H30335,H,295.5,305.9,1593,37.2,197,0,0,0,0,0,10.399999999999975,59259.600000000006,0.1235884567126725,11674141.2,1.0351945854483924,0,1
5087,L52266,L,304.0,313.0,1541,45.9,64,0,0,0,0,0,9.0,70731.9,0.0415045395590142,4526841.6,1.0296052631578947,0,0
5107,L52286,L,304.0,313.3,1519,36.7,117,0,0,0,0,0,9.300000000000011,55747.3,0.0769736842105263,6522434.100000001,1.030592105263158,0,0
4852,L52031,L,303.7,312.1,1363,51.8,90,0,1,0,0,0,8.400000000000034,70603.4,0.0659824046920821,6354305.999999999,1.027658873888706,1,0
8750,L55929,L,297.2,308.4,1677,26.4,146,0,0,0,0,0,11.199999999999989,44272.8,0.0870083432657926,6463828.8,1.037685060565276,0,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,9.699999999999989,62251.2,0.0915395284327323,8217158.4,1.0324740542350184,0,0
7382,L54561,L,299.7,310.3,1495,43.1,101,0,0,0,0,0,10.600000000000025,64434.5,0.0675133689839572,6507884.5,1.0353687020353688,0,0
1392,L48571,L,298.9,310.2,2737,8.8,142,0,0,1,0,0,11.300000000000011,24085.6,0.0518626734842951,3420155.2,1.0378052860488458,1,0
1740,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,9.399999999999975,68292.0,0.1118160190325138,9629172.0,1.0314907872696817,0,0
4177,M19036,M,302.3,310.7,1544,39.7,141,0,0,0,0,0,8.399999999999977,61296.8,0.0912621359223301,8642848.8,1.0277869665894803,0,0
9602,L56781,L,298.9,310.1,2109,18.0,61,0,0,0,0,0,11.200000000000044,37962.0,0.028909952606635,2315682.0,1.0374707259953164,0,0
6045,M20904,M,300.8,310.9,1522,41.7,115,0,0,0,0,0,10.099999999999966,63467.4,0.0755088640840446,7298751.0,1.0335771276595744,0,0
885,L48064,L,295.8,306.4,1356,48.0,99,0,0,0,0,0,10.599999999999966,65088.0,0.0729550478997789,6443712.0,1.035835023664638,0,0
7436,L54615,L,299.9,311.3,1504,40.7,20,0,0,0,0,0,11.400000000000034,61212.8,0.0132890365448504,1224256.0,1.0380126708902968,0,0
2048,L49227,L,299.3,309.2,1775,24.2,125,0,0,0,0,0,9.899999999999975,42955.0,0.0703828828828828,5369375.0,1.0330771800868692,0,0
5210,M20069,M,303.8,312.7,1507,38.5,180,0,0,0,0,0,8.899999999999977,58019.5,0.1193633952254641,10443510.0,1.0292955892034232,0,1
1733,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,9.5,47940.0,0.0705467372134038,5752800.0,1.0318364611260054,0,0
2447,L49626,L,299.3,308.6,1422,48.9,83,0,0,0,0,0,9.300000000000011,69535.8,0.0583274771609276,5771471.4,1.031072502505847,0,0
1040,L48219,L,296.7,307.7,1524,36.8,82,0,0,0,0,0,11.0,56083.2,0.0537704918032786,4598822.399999999,1.0370744860128076,0,0
3439,L50618,L,301.4,310.4,1471,37.5,193,0,0,0,0,0,9.0,55162.5,0.1311141304347826,10646362.5,1.0298606502986063,0,1
8827,M23686,M,297.2,308.8,1485,47.9,143,0,0,0,0,0,11.600000000000025,71131.5,0.0962314939434724,10171804.5,1.0390309555854644,0,1
3105,M17964,M,299.8,309.2,1678,29.8,202,0,0,0,0,0,9.399999999999975,50004.4,0.1203097081596188,10100888.8,1.0313542361574382,0,1
4668,H34081,H,303.3,311.4,1651,30.6,50,0,0,0,0,0,8.099999999999966,50520.600000000006,0.0302663438256658,2526030.0000000005,1.026706231454006,0,0
7294,L54473,L,300.1,310.5,1627,29.2,95,0,0,0,0,0,10.399999999999975,47508.4,0.0583538083538083,4513298.0,1.0346551149616794,0,0
6895,L54074,L,301.1,311.7,1408,46.3,135,0,0,0,0,0,10.599999999999966,65190.4,0.0958126330731014,8800704.0,1.0352042510793755,0,0
5597,M20456,M,302.7,312.0,1538,36.7,74,0,0,0,0,0,9.300000000000011,56444.600000000006,0.0480831708901884,4176900.4,1.030723488602577,0,0
4496,L51675,L,302.6,310.4,1359,57.2,67,0,1,0,0,0,7.799999999999954,77734.8,0.0492647058823529,5208231.600000001,1.0257766027759416,1,0
8379,M23238,M,298.8,309.9,1331,61.6,46,0,0,0,0,0,11.099999999999966,81989.6,0.0345345345345345,3771521.6,1.0371485943775098,0,1
2120,M16979,M,299.3,308.9,1858,24.7,101,0,0,0,0,0,9.599999999999966,45892.6,0.0543302850995158,4635152.6,1.032074841296358,0,0
8583,M23442,M,297.5,308.1,1334,72.0,151,0,0,1,0,0,10.600000000000025,96048.0,0.1131086142322097,14503248.0,1.0356302521008405,1,1
9277,L56456,L,298.1,308.7,1691,30.3,49,0,0,0,0,0,10.599999999999966,51237.3,0.0289598108747044,2510627.7,1.0355585374035556,0,0
5404,L52583,L,302.7,312.3,1858,25.4,2,0,0,0,0,0,9.600000000000025,47193.2,0.0010758472296933,94386.4,1.0317145688800793,0,0
